N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF
1,16.603,16.096,12.042,0.522000,2.631010,434,319424,0.045000
2,12.735,12.611,8.793,0.670000,1.485845,452,332672,0.045000
6,10.736,11.148,7.203,0.758000,1.026559,548,403328,0.045000
12,10.785,10.698,6.802,0.790000,0.881266,645,474720,0.045000
16,10.903,10.778,6.882,0.722000,1.036181,677,498272,0.045000
