N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.48041776,26.502,25.733,24.465
5,0.8694517,23.236,,21.215
8,0.4308094,23.113,,21.089
