N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
2,0.45691907,21.7,,17.404
4,0.39425588,19.429,18.155,14.742
6,0.81984335,19.137,18.272,14.661
