N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF
1,15.739,15.515,11.676,0.554000,2.086679,433,318688,0.045000
2,13.095,13.124,9.118,0.596000,1.595587,453,333408,0.045000
6,10.528,10.783,7.049,0.686000,1.455402,512,376832,0.045000
12,10.958,10.878,6.910,0.742000,1.036273,685,504160,0.045000
16,10.429,10.778,6.859,0.748000,0.934221,733,539488,0.045000
20,10.400,10.784,6.810,0.752000,1.020496,753,554208,0.045000
