STRENGTH_CODE,STRENGTH_NAME,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,PBEST_WORKER,TOPOLOGY
0,OFF,0,20,122.056,130.553,122.056,0.703333,1.002346,1762,515,1247,6512352,0.000000,0.000000,0.000000,0,0,0,true,false,true,true,mnist,true,ring
1,EASY,1,20,126.642,133.478,126.642,0.633333,1.219412,1617,391,1226,5976432,0.090000,0.010000,0.100000,25,5,20,true,false,true,true,mnist,true,ring
2,MEDIUM,1,20,12.514,13.117,12.514,-1.000000,1.219412,34,34,0,125664,0.140000,0.010000,0.150000,50,10,40,true,false,true,true,mnist,true,ring
3,HARD,1,20,139.859,137.826,139.859,0.626667,1.088407,707,292,415,2613072,0.100000,0.050000,0.150000,75,15,60,true,false,true,true,mnist,true,ring
