ENABLE_NEIGHBORHOODS,NEIGHBORHOOD_TOPOLOGY,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,PBEST_WORKER
false,all,0,20,634.709,629.490,634.709,0.826667,0.645047,6853,552,6301,25328688,0.000000,0.000000,0.000000,75,0,0,false,false,true,true,mnist,false
true,ring,0,20,898.285,905.319,898.285,0.846667,0.529438,8980,620,8360,33190080,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist,false
true,square,0,20,688.818,682.864,688.818,0.860000,0.616313,6543,536,6007,24182928,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist,false
