N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF
6,12.709,12.602,8.524,0.674000,1.238197,538,396704,0.045000
18,11.447,11.438,7.435,0.716000,1.092347,737,542432,0.045000
24,10.914,10.900,6.883,0.552000,1.429885,327,240672,0.045000
