N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.613577,32.91181397438049,26.221,22.302
5,0.8746736,31.085399389266968,24.354,20.34
8,0.9060052,30.910725355148315,23.893,19.808
