N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF
2,17.150,16.591,12.594,0.380000,1.931883,479,352544,0.100000
4,10.915,11.181,7.191,0.530000,1.477497,488,359168,0.100000
6,9.553,9.617,5.782,0.660000,1.242864,505,371680,0.100000
