ENABLE_NEIGHBORHOODS,NEIGHBORHOOD_TOPOLOGY,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING
false,all,0,20,20.098,15.434,20.098,0.530000,1.359904,766,422,344,2831136,0.000000,0.000000,0.000000,75,0,0,false
true,ring,0,20,26.862,47.372,26.862,0.590000,1.345861,809,402,407,2990064,0.000000,0.000000,0.000000,75,0,0,false
true,square,0,20,25.795,46.216,25.795,0.650000,0.961245,836,429,407,3089856,0.000000,0.000000,0.000000,75,0,0,false
