STRENGTH_CODE,STRENGTH_NAME,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,PBEST_WORKER,TOPOLOGY
0,OFF,0,12,76.162,86.096,76.162,0.933333,0.254617,1647,369,1278,14750532,0.000000,0.000000,0.000000,0,0,0,true,false,false,true,mnist5,true,ring
1,EASY,1,12,72.177,82.240,72.177,0.360000,1.604969,906,19,887,8114136,0.090000,0.010000,0.100000,25,5,20,true,false,false,true,mnist5,true,ring
2,MEDIUM,1,12,71.913,81.091,71.913,0.326667,1.607546,455,16,439,4074980,0.140000,0.010000,0.150000,50,10,40,true,false,false,true,mnist5,true,ring
3,HARD,1,12,72.075,79.681,72.075,0.313333,1.607346,308,12,296,2758448,0.100000,0.050000,0.150000,75,15,60,true,false,false,true,mnist5,true,ring
