`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,1,7.693,13.370,7.693,0.961123,0.106599,238,19,219,4827592,0.045000,0.005000,0.050000,75,0,0
0,2,4.458,10.315,4.458,0.976242,0.082763,258,39,219,5233272,0.045000,0.005000,0.050000,75,0,0
0,6,2.226,7.854,2.226,0.987041,0.059464,356,140,216,7221104,0.045000,0.005000,0.050000,75,0,0
0,12,1.917,7.787,1.917,0.967603,0.118851,434,219,215,8803256,0.045000,0.005000,0.050000,75,0,0
0,16,1.943,7.826,1.943,0.943844,0.402466,442,229,213,8965528,0.045000,0.005000,0.050000,75,0,0
0,20,1.939,7.798,1.939,0.980562,0.177717,508,294,214,10304272,0.045000,0.005000,0.050000,75,0,0
