N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.12793733,18.955,,17.063
5,0.06005222,16.446,,14.73
8,0.10182767,16.488,,15.01
