FULLY_INFORMED,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
false,0,20,190.289,188.695,190.289,0.622000,1.200383,5065,462,4603,162566240,0.045000,0.005000,0.050000,75,0,0
true,0,20,196.326,195.128,196.326,0.756000,0.814705,5583,657,4926,179191968,0.045000,0.005000,0.050000,75,0,0
