STRENGTH_CODE,STRENGTH_NAME,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,OFF,0,20,3.893,8.135,3.893,0.861771,0.388476,449,235,214,9107516,0.000000,0.000000,0.000000,0,0,0
1,EASY,1,20,2.210,7.678,2.210,0.961123,0.293799,294,154,140,5963496,0.090000,0.010000,0.100000,25,5,20
2,MEDIUM,1,20,1.966,7.632,1.966,0.749460,1.123511,131,71,60,2657204,0.140000,0.010000,0.150000,50,10,40
3,HARD,1,20,1.955,6.863,1.955,0.855292,0.624360,98,58,40,1987832,0.100000,0.050000,0.150000,75,15,60
