FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,1,26.010,31.476,26.010,0.800000,0.531029,4212,20,4192,555984,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
0,2,12.283,17.867,12.283,0.806667,0.467535,4226,34,4192,557832,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
0,6,6.044,11.975,6.044,0.790000,0.515053,4289,99,4190,566148,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
0,12,5.479,11.142,5.479,0.810000,0.483745,4388,201,4187,579216,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
0,16,4.768,10.660,4.768,0.796667,0.501792,4429,243,4186,584628,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
0,20,6.056,11.831,6.056,0.806667,0.552272,4518,335,4183,596376,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,susy
