FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX
1,12,49.559,44.404,40.650,0.806000,0.842627,797,125,672,586592,0.100000,0.050000,0.150000
0,12,54.122,54.478,50.479,0.824000,0.758616,5344,340,5004,3933184,0.000000,0.000000,0.000000
