STRENGTH_CODE,STRENGTH_NAME,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,OFF,0,12,41.020,63.707,41.020,0.940000,0.309497,1651,373,1278,14786356,0.000000,0.000000,0.000000,0,0,0,true,true,false,true,mnist5
1,EASY,1,12,36.492,59.292,36.492,0.306667,1.609775,907,20,887,8123092,0.090000,0.010000,0.100000,25,5,20,true,true,false,true,mnist5
2,MEDIUM,1,12,35.816,57.948,35.816,0.276667,1.606375,454,15,439,4066024,0.140000,0.010000,0.150000,50,10,40,true,true,false,true,mnist5
3,HARD,1,12,37.884,59.189,37.884,0.396667,1.610838,309,13,296,2767404,0.100000,0.050000,0.150000,75,15,60,true,true,false,true,mnist5
