N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.42819843,31.174,,29.914
5,0.8694517,30.654,,28.981
8,0.79112273,28.876,28.015,27.33
