STRENGTH_CODE,STRENGTH_NAME,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,OFF,0,16,11.148,16.531,11.148,0.833333,0.585429,7114,442,6672,5235904,0.000000,0.000000,0.000000,0,0,0
1,EASY,1,16,10.543,15.781,10.543,0.860000,0.636984,3929,201,3728,2891744,0.090000,0.010000,0.100000,25,5,20
2,MEDIUM,1,16,9.432,14.754,9.432,0.816667,0.836927,1978,122,1856,1455808,0.140000,0.010000,0.150000,50,10,40
3,HARD,1,16,9.107,14.403,9.107,0.713333,1.268379,1312,64,1248,965632,0.100000,0.050000,0.150000,75,15,60
