FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,1,12.151,11.340,12.151,0.216667,8.640462,134,1,133,495264,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,2,4.792,4.440,4.792,0.186667,7.917774,113,3,110,417648,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,6,60.933,60.086,60.933,0.576667,1.983013,1987,129,1858,7343952,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,12,126.425,124.451,126.425,0.596667,1.654102,2909,218,2691,10751664,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,16,231.264,226.990,231.264,0.770000,0.714436,4841,408,4433,17892336,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,20,389.091,384.891,389.091,0.793333,0.841868,7702,524,7178,28466592,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
0,24,383.656,376.984,383.656,0.863333,0.552897,7483,610,6873,27657168,0.000000,0.000000,0.000000,75,0,0,false,true,true,true,mnist
