FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX
1,12,17.050,15.940,12.211,0.816000,0.862525,1158,222,936,852288,0.000000,0.005000,0.050000
1,12,13.572,13.840,9.901,0.840000,0.822205,1092,156,936,803712,0.050000,0.055000,0.100000
1,12,13.592,14.036,9.929,0.806000,0.893475,1051,115,936,773536,0.100000,0.105000,0.150000
1,12,13.359,13.726,9.667,0.780000,0.959695,1012,76,936,744832,0.150000,0.155000,0.200000
