N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.5195823,29.292,28.373,27.482
5,0.8694517,27.551,,25.757
8,0.8851175,25.426,24.552,23.643
