N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
3,0.31592688,22.476,,20.779
5,0.1618799,21.881,,19.987
8,0.1618799,20.357,,18.439
