FULLY_INFORMED,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING
false,0,20,23.204,43.956,23.204,0.476667,1.838728,707,300,407,2613072,0.000000,0.000000,0.000000,75,0,0,false
true,0,20,25.618,46.065,25.618,0.626667,1.058178,816,409,407,3015936,0.000000,0.000000,0.000000,75,0,0,false
