SEVERITY_CODE,SEVERITY_NAME,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING
0,OFF,0,16,193.788,190.475,193.788,0.783333,0.710594,4366,494,3872,16136736,0.000000,0.000000,0.000000,0,0,0,true
1,EASY,1,16,310.277,304.564,310.277,0.750000,0.811702,4564,362,4202,16868544,0.090000,0.010000,0.100000,25,5,20,true
2,MEDIUM,1,16,430.090,447.140,430.090,0.770000,0.765876,3577,329,3248,13220592,0.140000,0.010000,0.150000,50,10,40,true
3,HARD,1,16,395.823,411.004,395.823,0.726667,0.866750,2410,250,2160,8907360,0.100000,0.050000,0.150000,75,15,60,true
