FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,1,12.738,18.062,12.738,0.973333,0.159254,580,27,553,633360,0.000000,0.000000,0.000000,75,0,0,false,true
0,2,7.134,12.831,7.134,0.960000,0.149527,585,33,552,638820,0.000000,0.000000,0.000000,75,0,0,false,true
0,6,2.767,8.345,2.767,0.966667,0.132991,718,168,550,784056,0.000000,0.000000,0.000000,75,0,0,false,true
0,12,2.563,8.289,2.563,0.980000,0.106124,809,261,548,883428,0.000000,0.000000,0.000000,75,0,0,false,true
0,16,2.443,8.190,2.443,0.973333,0.070943,861,317,544,940212,0.000000,0.000000,0.000000,75,0,0,false,true
0,20,2.313,7.765,2.313,0.926667,0.243794,893,353,540,975156,0.000000,0.000000,0.000000,75,0,0,false,true
