`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,1,74.434,84.287,74.434,0.598000,2.964855,451,33,418,1197856,0.045000,0.005000,0.050000,75,0,0
0,2,39.508,47.196,39.508,0.520000,3.540236,451,33,418,1197856,0.045000,0.005000,0.050000,75,0,0
0,6,28.383,35.002,28.383,0.774000,0.909016,570,154,416,1513920,0.045000,0.005000,0.050000,75,0,0
0,12,22.895,28.608,22.895,0.892000,0.379531,703,290,413,1867168,0.045000,0.005000,0.050000,75,0,0
0,16,22.408,6.998,22.408,0.874000,0.464776,726,344,382,1928256,0.045000,0.005000,0.050000,75,0,0
0,20,20.463,7.015,20.463,0.934000,0.233156,878,491,387,2331968,0.045000,0.005000,0.050000,75,0,0
