STRENGTH_CODE,STRENGTH_NAME,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,OFF,0,6,14.634,20.362,14.634,0.803333,0.792199,4340,148,4192,15415680,0.000000,0.000000,0.000000,0,0,0,true,true,false,true,pendigits
1,EASY,1,6,13.281,19.032,13.281,0.763333,0.942056,2405,60,2345,8542560,0.090000,0.010000,0.100000,25,5,20,true,true,false,true,pendigits
2,MEDIUM,1,6,14.183,20.070,14.183,0.730000,1.113704,1224,53,1171,4347648,0.140000,0.010000,0.150000,50,10,40,true,true,false,true,pendigits
3,HARD,1,6,12.555,18.003,12.555,0.666667,1.330948,816,35,781,2898432,0.100000,0.050000,0.150000,75,15,60,true,true,false,true,pendigits
