N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
2,0.47519583,26.016,,21.548
4,0.7780679,21.621,20.832,16.978
6,0.9373368,21.169,,16.682
