STRENGTH_CODE,STRENGTH_NAME,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,OFF,0,12,18.176,8.013,0.289,0.716000,1.019334,642,229,413,472512,0.000000,0.000000,0.000000,0,0,0
1,EASY,1,12,16.975,7.803,0.244,0.706000,1.182932,314,83,231,231104,0.090000,0.010000,0.100000,25,5,20
2,MEDIUM,1,12,16.837,7.281,0.228,0.518000,1.573584,155,43,112,114080,0.140000,0.010000,0.150000,50,10,40
3,HARD,1,12,15.993,7.255,0.153,0.274000,2.201257,86,14,72,63296,0.100000,0.050000,0.150000,75,15,60
