N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF
1,20.445,19.986,16.332,0.442000,2.396019,423,1502496,0.045000
2,14.919,15.125,11.385,0.540000,1.963595,441,1566432,0.045000
6,11.372,11.139,7.392,0.694000,0.997350,518,1839936,0.045000
12,10.758,10.874,7.271,0.626000,1.245625,597,2120544,0.045000
