STRENGTH_CODE,STRENGTH_NAME,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,PBEST_WORKER,TOPOLOGY
0,OFF,0,20,766.638,744.031,766.638,0.870000,0.506467,2581,405,2176,6803516,0.000000,0.000000,0.000000,0,0,0,false,false,true,false,cifar5-half,true,ring
1,EASY,1,20,1224.050,1194.880,1224.050,0.843333,0.471823,2378,315,2063,6268408,0.090000,0.010000,0.100000,25,5,20,false,false,true,false,cifar5-half,true,ring
2,MEDIUM,1,16,2025.791,1986.260,2025.791,0.856667,0.474630,2361,278,2083,6223596,0.140000,0.010000,0.150000,50,10,40,false,false,true,false,cifar5-half,true,ring
