MODEL_VERSION,DIMENSIONALITY,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING
1,170,0,16,2.598,8.102,2.598,0.683333,1.053578,684,275,409,503424,0.045000,0.005000,0.050000,75,0,0,false
4,19978,0,16,4.042,9.596,4.042,0.316667,2.093319,549,140,409,43902432,0.045000,0.005000,0.050000,75,0,0,false
