STRENGTH_CODE,STRENGTH_NAME,`,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX
0,OFF,0,16,2.469,8.162,2.469,0.763333,0.923657,711,301,410,523296,0.000000,0.000000,0.000000,0,0,0
1,EASY,1,16,1.948,7.216,1.948,0.680000,1.171038,340,111,229,250240,0.090000,0.010000,0.100000,25,5,20
2,MEDIUM,1,16,1.594,7.791,1.594,0.323333,1.915299,154,42,112,113344,0.140000,0.010000,0.150000,50,10,40
3,HARD,1,16,1.663,7.708,1.663,0.216667,2.111572,106,34,72,78016,0.100000,0.050000,0.150000,75,15,60
