FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX
1,12,13.146,12.151,8.432,0.710000,1.160299,219,147,72,161184,0.000000,0.005000,0.050000
1,12,10.968,10.672,6.953,0.610000,1.517119,130,58,72,95680,0.100000,0.105000,0.150000
1,12,10.353,10.785,6.883,0.260000,1.955953,96,24,72,70656,0.200000,0.205000,0.250000
