FULLY_INFORMED,FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
false,0,20,846.773,866.381,846.773,0.806667,0.934088,9216,556,8660,34062336,0.000000,0.000000,0.000000,75,0,0,false,true,false,true,mnist
true,0,20,899.910,918.798,899.910,0.876667,0.423681,9310,650,8660,34409760,0.000000,0.000000,0.000000,75,0,0,false,true,false,true,mnist
