FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,6,2.685,8.241,2.685,0.713333,0.983307,546,131,415,401856,0.000000,0.000000,0.000000,75,0,0,false,true
0,18,2.164,7.807,2.164,0.773333,0.834654,736,328,408,541696,0.000000,0.000000,0.000000,75,0,0,false,true
0,24,1.767,7.244,1.767,0.680000,1.205674,774,370,404,569664,0.000000,0.000000,0.000000,75,0,0,false,true
0,30,1.742,7.147,1.742,0.630000,1.204270,848,444,404,624128,0.000000,0.000000,0.000000,75,0,0,false,true
