FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,1,169.518,192.163,169.518,0.300000,5.704805,422,4,418,1559712,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
0,2,109.854,132.695,109.854,0.373333,4.117196,438,21,417,1618848,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
0,6,83.516,105.706,83.516,0.320000,2.900578,482,67,415,1781472,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
0,12,74.630,95.869,74.630,0.366667,2.457188,519,107,412,1918224,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
0,16,74.029,94.952,74.029,0.406667,2.386274,539,128,411,1992144,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
0,20,72.626,92.894,72.626,0.443333,1.749777,587,180,407,2169552,0.000000,0.000000,0.000000,75,0,0,true,true,false,true,mnist
