N_WORKERS,ACCURACY,TRAIN_TIME_SEC,COORDINATOR_ELAPSED_TIME_SEC,LAST_WORKER_ELAPSED_TIME_SEC
2,0.418,38.71,,34.782
4,0.558,30.098,,26.258
6,0.504,27.509,27.275,23.536
